,titles,offers,locations,titles_clean
342,Vozač (m/ž),"Žuti Taxi d.o.o. je preduzeće koje se bavi taxi prijevozom na području Kantona Sarajevo od 1990. godine.
  Raspisuje konkurs za prijem više izvršilaca u stalni radni odnos na poziciju:
  Vozač (m/ž)
  Za kandidate je neophodno posjedovanje vozačke dozvole B kategorije, prebivalište na području Kantona Sarajevo i poznavanje ulica istog. 
  Vaše prijave pošaljite putem opcije ""Prijavite se oglas"" ili putem broja telefona telefona: 061/ 833-817.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 04.07.2024. u 09:21
Oglas ističe: 03.08.2024. u 09:21",Vozač
343,Manipulativni radnik u skladištu (m/ž),"Kompanija Milšped BH je dio Milšped Grupe koja je globalno prepoznatljivo ime i regionalni lider u oblasti transporta i logistike, prepoznatljiv po logističkim rješenjima i uslugama koje podrazumijvaju naprednu tehnološku i softversku podršku. Uspješni sektor Skladišta kompanije Milšped uslijed povećanja obima posla širi svoj tim i raspisuje oglas za poziciju:
MANIPULATIVNI RADNIK U SKLADIŠTU
Glavna zaduženja:
 Manipuliše robom u skladištu;
Obavlja skladišne operacije kroz rad sa skenerom;
Radi na utovaru i istovaru robe, sa i bez korištenja ručnog paletnog viljuškara;
Vrši druge poslove sa robom, koji utječu na promjenu stanja robe na izlazu u odnosu na stanje robe na ulazu u skladište (komisioniranje robe, deklarisanje);
Zadužen je za obezbjeđenje kvaliteta i kvantiteta robe u skladištu u kojem radi.
Ostale karakteristike:
Potreban nivo stručne spreme KV;
Radno iskustvo nije neophodno.
Oglas ostaje otvoren 30 dana od dana objavljivanja.
Zahvaljujemo se svim kandidatima na interesovanju i zadržavamo diskreciono pravo da kontaktiramo kandidate koji uđu u uži izbor.
Vaše prijave možete poslati putem opcije ""Prijavite se na oglas"".","Mjesto rada: Rajlovac
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 6
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 15:22
Oglas ističe: 03.08.2024. u 15:22",Manipulativni radnik u skladištu
344,Call center agent (m/ž),"Potrebne vještine i kvalifikacije:
Potrebno poznavanje bosanskog i turskog jezika
Poželjno poznavanje engleskog jezika
Najmanje 6 mjeseci radnog iskustva u call centru
Spremnost za rad u smjenama 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 5
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 15:06
Oglas ističe: 03.08.2024. u 15:06",Call center agent
345,Radnik u restoranu (m/ž),"Lokacije rada: Sarajevo Centar / Sarajevo Ilidža
Zaposlenje: Puno radno vrijeme / pola radnog vremena","Mjesto rada: Sarajevo
Zaposlenje: Puno i nepuno radno vrijeme
Broj izvršilaca: 30
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 14:59
Oglas ističe: 03.08.2024. u 14:59",Radnik u restoranu
346,Njegovatelj (m/ž),"Potrebne kvalifikacije i vještine:
Poželjno da kandidat ima završenu školu ili kurs za njegovatelje/ice
Poželjno iskustvo u radu sa pacijentima
CV proslijediti isključivo u Word ili PDF formatu
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 35
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 13:30
Oglas ističe: 03.08.2024. u 13:30",Njegovatelj
347,Kuhar / Pomoćni kuhar (m/ž),"Restoran Bell na lokaciji Grbavička 7 širi svoj tim i zapošljava na poziciji:
-Pomoćni kuhar i Kuhar (m/ž)-
Opis posla:
Priprema jela
Odabir i priprema namirnica, pripremanje hrane (kuhanje, pečenje, prženje, pirjanje i drugo), kao i priprema za posluživanje jela
Održavanje higijenskih uslova na radnom mjestu. 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 13:14
Oglas ističe: 03.08.2024. u 13:14",Kuhar / Pomoćni kuhar
348,Konobar / Šanker (m/ž),"Restoran Bell na lokaciji Grbavička 7 širi svoj tim i zapošljava na poziciji:
- Konobar i Šanker (m/ž)-
Opis posla:
Posluživanje hrane i pića gostima.
Održavanje čistoće i organizacije prostora.
Profesionalno i ljubazno rješavanje upita i pritužbi gostiju.
Saradnja s kuhinjskim i barskim osobljem kako bi se osigurala nesmetana usluga.
Poštovanje svih zdravstvenih i sigurnosnih propisa.
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 13:14
Oglas ističe: 03.08.2024. u 13:14",Konobar / Šanker
349,Agent korisničke podrške (m/ž) ,"Korpa traži pojačanje!
O nama
Korpa.ba je prvi domaći dostavni servis kojeg karakteriše naručivanje u samo par klikova, online praćenje dostave u realnom vremenu, kao i logističko rješenje u vidu dostave na vrata kupca. Korpa servis trenutno posluje u deset bh. gradova i broji više od 700 aktivnih partnera, uključujući veliki broj
restorana, prodavnica hrane i pića, apoteka, mesnica, ribarnica, cvjećara i mnogih drugih specijaliziranih
shopova.
Pozicija: Agent korisničke podrške (M/Ž)
Opis posla:
Komunikacija sa korisnicima - telefonska i putem maila;
Ažuriranje baze podataka informacija o korisnicima;
Rješavanje pritužbi korisnika i reklamacija;
Vođenje operacija, od zaprimanja narudžbe do isporuke krajnjem korisniku.
Znanje i kvalifikacije:
Radno iskustvo na istim ili sličnim poslovima;
Napredno znanje rada na računaru;- timski rad i odgovornost;
Razvijene komunikacijske vještine;
Spremnost za rad pod pritiskom.
Šta nudimo?
Rad u dinamičnom okruženju;
Mogućnost napredovanja.
Vaše prijave možete poslati putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 13:11
Oglas ističe: 03.08.2024. u 13:11",Agent korisničke podrške 
350,Group Controller (m/f),"Would you like to join a dynamic and quickly expanding team in the BPO outsourcing sector? Are you a professional with international expertise and ready for a new challenges?
If so, StorsenDigital has a fantastic opportunity for you!
About Us
StorsenDigital is an international outsourcing service provider with a head office in Prague and offices across several EU and US countries. Over the past 14 years, we’ve mastered technology, skills and location-sourcing services. While working on several projects and activities with the greatest staff and suppliers, our Company supports customers in achieving business objectives and greater success.
Position
For our client in Germany, we are hiring a Group Controller in Bosnia (remote or in Sarajevo office). Basic German Skills appreciated
Your tasks:
You work in international group controlling and business unit controlling
You prepare and analyze budgets, forecasts, monthly reports and ad-hoc requests
You conduct monthly management meetings
You will work on the transformation and further development of internal management reporting in the latest SAP tools (S/4 HANA, AFO, SAC...) for the digitalization of the controlling processes within the FEV Group
You define, implement and analyze KPIs as a basis for strategic and operational controlling
You are responsible for implementing, advising and supporting corporate planning for all FEV companies (incl. recommendations for action, sparring partner for management worldwide)
You will be involved in committee work (including preparing and holding shareholder meetings)
You work independently on operational/strategic tasks/project
Your profile:
You have successfully completed your business administration studies with focus on finance, controlling or a comparable field
You have experience in controlling, accounting or in auditing/consulting
You have detailed knowledge of MS-Office, BI as well as planning and consolidation tools. SAP experience is also preferred.
You have very good written and spoken English skills. Basic German language skills appreciated too.
You have very good analytical skills
You are characterized by the ability to work in a team and independently
You are an open, communicative and internationally oriented personality  
You enjoy digitalization and want to be part of it
Starting time: (from 08/2024).
What we offer:
Ability to progress and learn
Competitive salary
Work fully remote or hybrid in Sarajevo (if you like the office atmosphere)
Work in a dynamic and international environment
Training and Education
Note: Only short-listed candidates (who are fit based on CV) will be called for the interview.
You can apply via: ""Prijavite se na oglas"" option.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Da
Oglas objavljen: 03.07.2024. u 12:22
Oglas ističe: 03.08.2024. u 12:22",Group Controller (m/f)
351,Stručni saradnik u građevinarstvu / Građevinski tehničar (m/ž),,"Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 12:05
Oglas ističe: 03.08.2024. u 12:05",Stručni saradnik u građevinarstvu / Građevinski tehničar
352,Kreditni analitičar / Underwriter (m/ž),"Za potrebe ProCredit Bank raspisuje se konkurs za prijem člana/članice tima u radni odnos za radno mjesto:
Kreditni analitičar / Underwriter
(Odjel za upravljanje kreditnim rizicima)
Mjesto rada: Sarajevo
Broj izvršilaca: 1
Ako ovo zvuči kao ti...
Svoju karijeru tražiš u procjeni kreditne sposobnosti i finansijskoj analizi pravnog lica?
Želiš da tvoja karijera ide u smjeru izrade kvalitativnih i kvantitativnih analiza uključujući održivost poslovanja, likvidnost, solventnost, profitabilnost i praćenje tržišnih trendova?
Želiš raditi dinamičan posao koji će ti omogućiti da upoznaš, analiziraš i finansijski savjetuješ privredne subjekte u BiH, te da pritom svoje analize i mišljenje prezentiraš na kreditnom komitetu?
Ako svoje buduće radno okruženje zamišljaš kao mjesto...
Dinamične energije, transparentne komunikacije i profesionalizma u timu koji će ti pružiti podršku i učiniti da se osjetiš dobrodošlim i cijenjenim
Izuzetnog timskog rada i organizacijske strukture u kojoj možeš razvijati svoje vještine i potencijal kroz kontinuirano učenje
Optimalne kombinacije rada u uredu i rada na terenu kroz posjete poslovnim klijentima
Ako posjeduješ sljedeće kvalifikacije...
VSS, završen ekonomski ili srodan fakultet (minimalno 180 ECTS bodova)
Poželjno 1 (jedna) godina radnog iskustva u poslovima iz područja rada u finansijskim institucijama, odnosno bankama
Govoriš engleski jezik (minimalno B1 nivo)
Poznavanje rada na računaru - MS Office
Imaš izražene komunikacijske, analitičke i prezentacijske vještine
Organizacijske sposobnosti, preciznost, pouzdanost i timski rad
Spremnost za rad na terenu i u dinamičnom okruženju
Posjedovanje vozačke dozvole B kategorije, aktivan si vozač
... onda je naš ProCredit tim pravo mjesto za tebe!
Ukoliko se možeš poistovijetiti s ciljevima i etičkim principima naše Banke, zadovoljstvo nam je ponuditi zanimljivu poziciju u prijateljskom i otvorenom radnom okruženju. Svoj CV nam pošalji putem opcije ""Prijavite se na oglas""
ProCredit Bank je razvojno orijentisana komercijalna banka. U svom poslovanju pridržavamo se temeljnih načela: cijenimo transparentnost u komunikaciji sa našim klijentima, nudimo odlične usluge malim i srednjim preduzećima, te stanovništvu koje želi koristiti elektronske kanale za obavljanje bankarskih transakcija. Nastojimo smanjiti svoj ekološki otisak na okoliš i pružamo usluge koje se temelje na razumijevanju individualne situacije svakog klijenta i na dobroj finansijskoj analizi.
Više o nama možeš saznati na https://www.procreditbank.ba/ 
Odjel za ljudske resurse će kontaktirati samo kandidate koji uđu u uži izbor, a ostalim kandidatima se zahvaljujemo na prijavi.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 10:30
Oglas ističe: 02.08.2024. u 10:30",Kreditni analitičar / Underwriter
353,Konobar (m/ž),"Potreban odgovoran radnik/ca na poslovima posluživanja u objektu ugodnog ambijenta.
Radno vrijeme u smjenama.
Kontakt broj: 062/722-252
Vaše prijave možete poslati putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 09:47
Oglas ističe: 03.08.2024. u 09:47",Konobar
354,Trgovac (m/ž),"FK Sarajevo traži trgovca da se pridruži našem timu.

Kvalifikacije:
Poželjno iskustvo u prodaji
Poznavanje engleskog jezika i rada na računaru
Komunikacijske i organizacijske vještine
Nudimo:
Rad u dinamičnom okruženju
Kompetitivan kompenzacijski paket
Mogućnost daljeg usavršavanja i napredovanja
Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 09:19
Oglas ističe: 03.08.2024. u 09:19",Trgovac
355,Menadžer odjela za finansije (m/ž),"Opis posla:
Priprema budžeta i strateškog plana
Analiza i interpretacija finansijskih informacija, razumijevanje odstupanja i priprema jasnih akcijskih planova za usklađivanje sa poslovnim partnerima
Komunikacija sa investitorima / odnos sa domaćim i međunarodnim bankama i finansijskim institucijama / rukovođenje financijskim izvorima, prihodima i troškovima
Identifikacija  i mjerenje financijskih rizika i prilika, te predlaganje korektivnih izmjena
Izrada godišnjih obračuna u pravovremenom roku, kao i povrat poreza u skladu sa lokalnim poreznim uvjetima
Povezanost sa lokalnim revizorima, poreznim savjetnicima i lokalnom upravom
Potrebne kvalifikacije i vještine:
VSS
Poželjno iskustvo u zdravstvenom sektoru
Najmanje 10 godina iskustva u finansijskom sektoru
Posjedovanje znanja i iskustva u vršenju inostranih transakcija
Poznavanje IFRS i GAAP, kao i lokalnog poreza
Poznavanje MS Office i BorAX
Napredno poznavanje bosanskog i engleskog jezika, poželjno poznavanje turskog jezika
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 03.07.2024. u 08:28
Oglas ističe: 03.08.2024. u 23:59",Menadžer odjela za finansije
356,Student za rad u prodaji i marketingu (m/ž),"Student/ica si, odgovorna/an, tražiš interesantan i dinamičan posao uz mogućnost povremenog rada od kuće? Želiš da učiš nove stvari svakodnevno u ugodnom radnom ambijentu? Na pravom si mjestu!
Henkel BH d.o.o. u Sarajevu traži 1 asistenta u prodaji i marketingu brendova Henkel Consumer Brands.
Što ćeš raditi?
Pripremanje i analiziranje statističkih, prodajnih i marketinških podataka
Analiza i skupljanje podataka sa tržišta
Podrška prodajnom timu/marketing timu
Priprema prodajnih obrazaca
Ažuriranje podataka u Excelu
Ostali zadaci
Uslovi: Student, poznavanje Microsoft Office paketa, mogućnost rada na puno radno vrijeme (do 40 sati tjedno)
HENKEL JE ZA ONE KOJI SE ISTIČU. ISTIČEŠ LI SE? 
U Henkelu možete napraviti razliku i postići karijeru. Zbog toga imate vlastite projekte i potpunu odgovornost od samog početka. Naši jedinstveni brandovi na tržištima diljem svijeta pružaju bezbroj mogućnosti da slijedite svoja uvjerenja i istražite nove puteve. Ukoliko imate poduzetnički um koji vam dozvoljava razmišljanje izvan okvira – iskoristite priliku i oblikujte digitalnu budućnost s nama.   
Vaše prijave prijavu možete poslati putem opcije ""Prijavite se na oglas"" .
Veselimo se vašim prijavama!","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Povremeno
Oglas objavljen: 02.07.2024. u 16:17
Oglas ističe: 02.08.2024. u 16:17",Student za rad u prodaji i marketingu
357,Građevinski radnik (m/ž),"Firma Stroping d.o.o. Sarajevo otvara konkurs za prijem kvalificirane radne snage na radnim mjestima:
Fasader/Moler/Monter suhe gradnje- Gipser
Prijave je moguće slati putem opcije ""Prijavite se na oglas"", ""Prijava kod poslodavca"" ili na:
Adresu firme lično: Nedima Filipovica br.03,Čengić Vila, SA
Tel: 033 716 070
Mob1: 061 032 031- Faris
Mob2: 061 670 027- Ured","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 15
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 16:06
Oglas ističe: 01.08.2024. u 16:06",Građevinski radnik
358,CNC Operater (m/ž),"Procedo d.o.o. Sarajevo raspisuje konkurs za radno mjesto:
 CNC OPERATER (m/ž)
Osnovni uslovi za kandidate su:
Minimalno srednja stručna sprema (tehnički smjer)
Osnovno poznavanje rada na računaru
Poželjno radno iskustvo
Od kandidata očekujemo:
Osjećaj za organizaciju rada i odgovornost;
Sposobnost samostalnog rada i rada u timu;
Rad u dinamičnom okruženju
Pouzdanost i povjerljivost
Opis radnog mjesta:
Rad u proizvodnji na CNC glodalici i CNC strugu
Zaposlenima nudimo:
Profesionalno usavršavanje i razvoj karijere
Prijatnu radnu atmosferu
Stimulativnu zaradu
Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"".
Odabrani kandidati će biti pozvani na razgovor.
Neblagovremene i nepotpune prijave neće biti uzete u razmatranje.","Mjesto rada: Vogošća
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 14:42
Oglas ističe: 02.08.2024. u 14:42",CNC Operater
359,Spa Terapeut (ž),"Amman Spa iz Sarajeva raspisuje konkurs za poziciju SPA TERAPEUTA.
  Amman Spa u svojoj ponudi nudi usluge masaža, hamama, saune, te raznih spa rituala poput peelinga tijela, pedikira, manikira, tretmana lica. 
  Prednost imaju kandidatkinje koji imaju formalno obrazovanje za fizioterapeuta ili iskustvo u spa centru duže od godinu dana. 
  Traže se i kandidatkinje koji su osim masaža, spremni da uče i pružaju kozmetičke usluge, koji vole i uživaju u poslovima koji su u vezi sa spa tretmanima i estetikom. 
  Poželjne su komunikacijske vještine i osnovno poznavanje engleskog jezika. 
  Poslodavac nudi platu, bonuse, pozitivnu i opuštenu radnu atmosferu. 
Osobe koje nisu iz Sarajeva, obezbijeđen je besplatan smještaj.
  Vaše prijave pošaljite putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 12:56
Oglas ističe: 02.08.2024. u 23:59",Spa Terapeut (ž)
360,Vozač C/B kategorije (m/ž),"MBA-CENTAR d.o.o. Sarajevo je prehrambena industrija iz Sarajeva u čijem okviru posluju ugostiteljski objekti i pekare ""Slatko i Slano"".
Zapošljavamo: Vozača C ili B kategorije za dostavu proizvoda u Sarajevu i diljem Bosne i Hercegovine (C kategorija)
Prijave putem opcije: ""Prijavite se na oglas""","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 10:20
Oglas ističe: 02.08.2024. u 10:20",Vozač C/B kategorije
361,Agent za nekretnine (m/ž),"Stanovi Sa je agencija za prodaju, najam i potražnju nekretnina.
Zapošljavamo na poziciji
Agent za nekretine (m/ž)
Opis posla:
Komunikacija sa kupcima
Terenski posao
Pronalaženje novih kupaca i prodavaca
Dinamičan posao
Obavezni uslovi:
VSS ILI SSS, prednost osobama sa iskustvom
Položen vozački ispit, aktivan vozač
Dodatni uslovi:
Poznavanje grada
Radno iskustvo je poželjno
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Kontakt telefon: 061 010 506","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 10:10
Oglas ističe: 01.08.2024. u 10:10",Agent za nekretnine
362,Elektrotehničar - administrator (m/ž),"Solar Invent d.o.o. Sarajevo je generalni zastupnik za oblast energetike i obnovljivih izvora energije koja se bavi projektovanjem, dizajniranjem i izgradnjom solarnih fotonaponskih Off-Grid i On-Grid elektrana, kako za vlastitu potrošnju, tako i za prodaju u mrežu. Specijalizirani smo distributer elektrotehničkih materijala i proizvoda renomiranih svjetskih brendova.
Na osnovu ukazane potrebe, dana 02.07.2024. godine Solar Invent d.o.o raspisuje:
KONKURS
Za prijem u radni odnos na mjesto:
Elektrotehničar - administrator
Opći uslovi:
Izražene komunikacijske vještine
Izvrsne organizacijske vještine
Samostalnost i proaktivnost u radu
Izražen senzibilitet za timski rad
Opis poslova:  
Prikupljanje i priprema dokumentacije potrebne za projektovanje i instalaciju solarnih sistema
Pružanje administrativne i tehničke podrške timu za projektovanje
Koordinacija sa dobavljačima i izvođačima radi prikupljanja ponuda i informacija o opremi
Organizacija i vođenje evidencije o projektnim dokumentima i rokovima
Pomoć u pripremi tehničkih izveštaja, planova i prezentacija.
Komunikacija sa klijentima i pružanje osnovnih informacija o projektima
Praćenje i usklađivanje sa relevantnim standardima i propisima.
Povremeno prisustvo na lokaciji na kojoj se vrši izgradnja solarne elektrane
Ostali administrativni poslovi prema potrebi
Kvalifikacije:
Završena srednja stručna sprema iz elektrotehnike ili srodne oblasti
Poželjno radno iskustvo na sličnim poslovima
Osnovno poznavanje softverskih alata
Dobre organizacione i komunikacione veštine
Sposobnost rada u timu i pridržavanja rokova
Vozačka dozvola B kategorije
Napomena: 
Samo kandidati koji ispunjavaju tražene kriterije i uđu u uži izbor će biti kontaktirani i uključeni u daljnji selekcijski proces
Kandidati koji budu ispunjavali uvjete konkursa biti će bilateralno intervjuisani
Osobni dohodak će biti dogovoren tokom intervjua
Solar Invent doo Sarajevo u svakom trenutku ima pravo opozvati ovaj konkurs.
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 09:18
Oglas ističe: 02.08.2024. u 09:18",Elektrotehničar - administrator
363,Trgovac gumenih bombona (m/ž),"Opis posla: 
Svakodnevna komunikacija sa kupcima
Informisanje i savjetovanje kupaca o prodajnom asortimanu
Briga o popunjenosti i složenosti prodajnog prostora
Od kandidata očekujemo:
Poželjno iskustvo na istim ili sličnim poslovima
Ljubaznost i uslužnost
Odgovoran pristup poslu
Izražene komunikacijske vještine
Poznavanje jednog od stranih jezika
Svoj CV poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 02.07.2024. u 08:19
Oglas ističe: 02.08.2024. u 08:19",Trgovac gumenih bombona
364,Radnik u proizvodnji prehrambenih proizvoda (m/ž),"SPANISH MARKET d.o.o i M.E.S.A INTERNACIONAL d.o.o - Osnovna djelatnost kompanije je proizvodnja, uvoz i distribucija roba široke potrošnje.
Ukoliko želite postati dio našeg tima, pozivamo vas da se prijavite za sljedeću poziciju:
Radnik u proizvodnji prehrambenih proizvoda (m/ž)
Uslovi:
SSS, radno iskustvo nije neophodno
Osnovne obaveze:
Vodi računa o urednosti i čistoći radnog mjesta, vodi brigu da prilikom pakovanja ne dolazi do oštećenja proizvoda
Odvaja proizvode neusklađenog kvaliteta
Obavlja druge poslove po uputama nadređenih
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 5
Moguć rad od kuće (remote): Ne
Oglas objavljen: 01.07.2024. u 15:21
Oglas ističe: 31.07.2024. u 15:21",Radnik u proizvodnji prehrambenih proizvoda
365,Skladišni radnik (m/ž),"Skladišni radnik (m/ž)
Na tržištu nastupamo pružanjem cjelovite logističke usluge - 3PL ( third-party logistic ), odnosno pružamo usluge skladištenja, skladišne manipulacije, dostave i distribucije robe kao i povratne logistike te međunarodni transport i otpremništvo. Pružamo individualna rješenja za svakog klijenta, pratimo nove tehnologije i kontinuirano optimiziramo procese, a dodatna prednost su nam fleksibilnost i brzina reakcija, kao i iskusni logistički kadar. Zadovoljstvo zaposlenika i klijenata cilj je svih naših operativnih planova. Smatrate se predanom i dinamičnom osobom, voljni ste učiti i prihvatiti nove izazove? Vrijeme je da preskočite ograde, zaobiđete barijere i pridružite se najboljima na putu do uspjeha!
Opis posla:
Zbog širenja poslovanja, Integralog d.o.o., traži radnike (više izvršilaca) za rad u skladištu na poslovima:
Prijema robe;
Komisioniranje robe prema nalozima uz ručne terminale;
Pakiranje robe;
Kontrola izlaza robe i drugi skladišni poslovi.
 Obavezni uslovi:
NKV, SSS;
Minimalno 1 godina iskustva rada u skladištu i procesima skladišne manipulacije.
 Dodatni uslovi:
Motiviranost i sistematiziranost, kao i pozitivan stav;
Osnovna informatička pismenost;
Dozvola i iskustvo za rad sa skladišnim strojevima (regalni i komisioni viličari) - poželjno;
Platni razred: Po dogovoru
Kontakt telefon: 063 /487- 162
Prijave putem opcije: ""Prijavite se na oglas"".
Oglas ostaje otvoren do 31.07.2024. godine ili do popune radnih mjesta.
Integralog d.o.o. je domaća kompanija koja pruža usluge skladištenja, manipulacije i dostave robe. Poslujemo na tržištima Hrvatske kao i Češke Republike. Fokusirani smo na izvrsnost u radu i pružanju sveobuhvatne logističke podrške u radu naših klijenata.
Više informacija o nama možete pronaći na www.integralog.ba","Mjesto rada: Vogošća
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 01.07.2024. u 14:27
Oglas ističe: 31.07.2024. u 14:27",Skladišni radnik
366,Prodavač (ž),"Potrebna prodavačica u pekari “PekSar”
Lokacija: Zelene beretke 28
  Opis poslova:
Komunikacija s kupcima i usluživanje
Rad na blagajni
Informisanje kupaca o proizvodima
Slaganje i izlaganje proizvoda 
Priprema proizvoda
Svakodnevna briga o higijeni i urednosti prodajnog prostora 
  Uslovi:
SSS
Rad u maloprodaji
Izražene komunikacijske i prodajne vještine
Ljubazanost i srdačnost u komunikaciji sa kupcima
Odgovorno i ozbiljno pristupanje radnim zadacima
Spremnost za rad u timu

Vaše prijave možete poslati putem opcije ""Prijavite se na oglas"" ili na broj telefona: 062 100 505.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 01.07.2024. u 13:13
Oglas ističe: 01.08.2024. u 13:13",Prodavač (ž)
367,Serviser (m),"Opis posla:
Servisna podrška, mjerenja i provjere ispravnosti uređaja
Obavezni uslovi:
SSS, elektrotehničar/mašinski tehničar 
Engleski jezik aktivno
Dodatni uslovi:
Poželjno poznavanje rada u Auto-Cadu
Radno iskustvo je poželjno
Kontakt: 062 334 185
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 01.07.2024. u 12:56
Oglas ističe: 01.08.2024. u 12:56",Serviser (m)
368,Pomoćni radnik u kuhinji (m/ž),"Kontakt 061 414 436 (Viber)
Prijave možete poslati i putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 01.07.2024. u 12:26
Oglas ističe: 01.08.2024. u 12:26",Pomoćni radnik u kuhinji
